"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.745935616332864E9,"2025-04-29 16:06:56.333 UTC+02:00"
"PAUSE",6.540264050000405E1,1.745935681734809E9,"2025-04-29 16:08:01.735 UTC+02:00"
