UTC,Latitude,Longitude,Altitude
2025/5/28 - 12:34:47,49.38502786377259,1.0684793333333336,65.58999999985099
2025/5/28 - 12:34:47,49.38502922623365,2.410070422273426,-527.4273120835423
2025/5/28 - 12:34:47,49.38502924496044,2.4285116328819583,-521.5875794440508
2025/5/28 - 12:34:47,49.38502926368723,2.4469527827578665,-515.3684587795287
2025/5/28 - 12:34:47,49.38502928241402,2.4653938680807195,-508.76995120570064
2025/5/28 - 12:34:47,49.38502930114081,2.483834885030166,-501.7920579034835
2025/5/28 - 12:34:47,49.385029319867606,2.5022758297859404,-494.4347801217809
2025/5/28 - 12:34:47,49.3850293385944,2.520716698527868,-486.6981191784144
2025/5/28 - 12:34:47,49.3850293573212,2.539157487435863,-478.5820764582604
2025/5/28 - 12:34:47,49.38502937604799,2.5575981926899467,-470.0866534151137
2025/5/28 - 12:34:47,49.38503457688132,1.1674055709750155,-48.03685568086803
2025/5/28 - 12:34:47,49.38503482732414,1.1228694925985971,1.120943835005164
2025/5/28 - 12:34:47,49.385035077766965,1.0783346368124622,52.49214004538953
2025/5/28 - 12:34:47,49.3850353282098,1.0338010573766998,106.07667928840964
2025/5/28 - 12:34:47,49.38503557865261,0.9892688080421485,161.87450559344143
2025/5/28 - 12:34:47,49.38503582909544,0.944737942550008,219.8855606792495
2025/5/28 - 12:34:47,49.38503607953825,0.9002085146314516,280.1097839549184
2025/5/28 - 12:34:47,49.38503632998107,0.8556805780072363,342.54711252171546
2025/5/28 - 12:34:47,49.385036580423886,0.8111541863873154,407.197481171228
2025/5/28 - 12:34:47,49.385036830866696,0.7666293934704502,474.060822384432
2025/5/28 - 12:34:47,49.38503483894954,1.0545863484973228,80.91484433412552
2025/5/28 - 12:34:47,49.38503495604351,1.029827353205813,111.09644751343876
2025/5/28 - 12:34:47,49.38503507313748,1.005068770613745,141.96217585541308
2025/5/28 - 12:34:47,49.38503519023144,0.9803106099567396,173.5120193939656
2025/5/28 - 12:34:47,49.38503530732542,0.9555528804694712,205.7459679460153
2025/5/28 - 12:34:47,49.385035424419385,0.9307955913856512,238.66401110310107
2025/5/28 - 12:34:47,49.38503554151335,0.9060387519380024,272.2661382369697
2025/5/28 - 12:34:47,49.38503565860731,0.8812823713582421,306.5523385023698
2025/5/28 - 12:34:47,49.38503577570128,0.8565264588770595,341.5226008296013
2025/5/28 - 12:34:47,49.38503589279525,0.8317710237240955,377.1769139291719
