UTC,Latitude,Longitude
2025/03/18 - 16:15:06,49.38576167,1.06899667
2025/03/18 - 16:15:07,49.38576333,1.06900833
2025/03/18 - 16:15:08,49.38576667,1.06902000
2025/03/18 - 16:15:09,49.38577000,1.06903500
2025/03/18 - 16:15:10,49.38577000,1.06905000
2025/03/18 - 16:15:11,49.38577000,1.06906500
2025/03/18 - 16:15:12,49.38576500,1.06908000
2025/03/18 - 16:15:13,49.38576167,1.06909667
2025/03/18 - 16:15:14,49.38575667,1.06911167
2025/03/18 - 16:15:15,49.38575167,1.06912833
2025/03/18 - 16:15:16,49.38574833,1.06914333
2025/03/18 - 16:15:17,49.38574167,1.06915500
2025/03/18 - 16:15:18,49.38574000,1.06916833
2025/03/18 - 16:15:19,49.38573833,1.06917667
2025/03/18 - 16:15:20,49.38573667,1.06918167
2025/03/18 - 16:15:21,49.38573167,1.06918500
2025/03/18 - 16:15:22,49.38572833,1.06919167
2025/03/18 - 16:15:23,49.38572500,1.06919500
2025/03/18 - 16:15:24,49.38572333,1.06920000
2025/03/18 - 16:15:25,49.38572000,1.06920500
2025/03/18 - 16:15:26,49.38571667,1.06921500
2025/03/18 - 16:15:27,49.38571500,1.06922833
2025/03/18 - 16:15:28,49.38571333,1.06924500
2025/03/18 - 16:15:29,49.38570833,1.06925833
2025/03/18 - 16:15:30,49.38570333,1.06927167
2025/03/18 - 16:15:31,49.38570000,1.06928833
2025/03/18 - 16:15:32,49.38569833,1.06930667
2025/03/18 - 16:15:33,49.38569333,1.06932167
2025/03/18 - 16:15:34,49.38569000,1.06934000
2025/03/18 - 16:15:35,49.38568667,1.06935667
2025/03/18 - 16:15:36,49.38568167,1.06937167
2025/03/18 - 16:15:37,49.38567667,1.06938500
2025/03/18 - 16:15:38,49.38566833,1.06940000
2025/03/18 - 16:15:39,49.38566333,1.06941333
2025/03/18 - 16:15:40,49.38566000,1.06943167
2025/03/18 - 16:15:41,49.38565333,1.06944500
2025/03/18 - 16:15:42,49.38564833,1.06946333
2025/03/18 - 16:15:43,49.38564500,1.06948000
2025/03/18 - 16:15:44,49.38564333,1.06948833
2025/03/18 - 16:15:45,49.38563833,1.06950000
2025/03/18 - 16:15:46,49.38563333,1.06951167
2025/03/18 - 16:15:47,49.38562833,1.06952833
2025/03/18 - 16:15:48,49.38562333,1.06954667
2025/03/18 - 16:15:49,49.38562000,1.06956667
2025/03/18 - 16:15:50,49.38561833,1.06958500
2025/03/18 - 16:15:51,49.38561500,1.06960000
2025/03/18 - 16:15:52,49.38561000,1.06961333
2025/03/18 - 16:15:53,49.38560500,1.06962833
2025/03/18 - 16:15:54,49.38560000,1.06964667
2025/03/18 - 16:15:55,49.38559167,1.06966500
2025/03/18 - 16:15:56,49.38558333,1.06968167
2025/03/18 - 16:15:57,49.38557667,1.06969167
2025/03/18 - 16:15:58,49.38557000,1.06971167
2025/03/18 - 16:15:59,49.38556667,1.06972667
2025/03/18 - 16:16:00,49.38556167,1.06974167
2025/03/18 - 16:16:01,49.38555833,1.06976000
2025/03/18 - 16:16:02,49.38555333,1.06977333
2025/03/18 - 16:16:03,49.38554833,1.06978833
2025/03/18 - 16:16:04,49.38554167,1.06980500
2025/03/18 - 16:16:05,49.38554000,1.06982000
2025/03/18 - 16:16:06,49.38553667,1.06983667
2025/03/18 - 16:16:07,49.38553500,1.06985167
2025/03/18 - 16:16:08,49.38553167,1.06987167
2025/03/18 - 16:16:09,49.38552167,1.06989000
2025/03/18 - 16:16:10,49.38551500,1.06990667
2025/03/18 - 16:16:11,49.38550833,1.06992833
2025/03/18 - 16:16:12,49.38550167,1.06994500
2025/03/18 - 16:16:13,49.38549500,1.06996333
2025/03/18 - 16:16:14,49.38549000,1.06998167
2025/03/18 - 16:16:15,49.38548500,1.06999667
2025/03/18 - 16:16:16,49.38547833,1.07001667
2025/03/18 - 16:16:17,49.38547333,1.07003500
2025/03/18 - 16:16:18,49.38546833,1.07005000
2025/03/18 - 16:16:19,49.38546333,1.07006667
2025/03/18 - 16:16:20,49.38545500,1.07008333
2025/03/18 - 16:16:21,49.38545000,1.07010000
2025/03/18 - 16:16:22,49.38544500,1.07011333
2025/03/18 - 16:16:23,49.38543833,1.07013333
2025/03/18 - 16:16:24,49.38543000,1.07015000
2025/03/18 - 16:16:25,49.38542500,1.07016667
2025/03/18 - 16:16:26,49.38542167,1.07018667
2025/03/18 - 16:16:27,49.38541167,1.07020333
2025/03/18 - 16:16:28,49.38540333,1.07021833
2025/03/18 - 16:16:29,49.38539500,1.07023500
2025/03/18 - 16:16:30,49.38538833,1.07025000
2025/03/18 - 16:16:31,49.38538333,1.07026667
2025/03/18 - 16:16:32,49.38537833,1.07028500
2025/03/18 - 16:16:33,49.38537167,1.07030667
2025/03/18 - 16:16:34,49.38536333,1.07032000
2025/03/18 - 16:16:35,49.38535833,1.07033667
2025/03/18 - 16:16:36,49.38535167,1.07035333
2025/03/18 - 16:16:37,49.38534333,1.07036833
2025/03/18 - 16:16:38,49.38533667,1.07037833
2025/03/18 - 16:16:39,49.38532833,1.07038833
2025/03/18 - 16:16:40,49.38531833,1.07039833
2025/03/18 - 16:16:41,49.38530833,1.07040667
2025/03/18 - 16:16:42,49.38529833,1.07041167
2025/03/18 - 16:16:43,49.38529000,1.07041667
2025/03/18 - 16:16:44,49.38528000,1.07042333
2025/03/18 - 16:16:45,49.38526833,1.07042833
2025/03/18 - 16:16:46,49.38525833,1.07043667
2025/03/18 - 16:16:47,49.38525000,1.07044167
2025/03/18 - 16:16:48,49.38523833,1.07044833
2025/03/18 - 16:16:49,49.38523000,1.07045500
2025/03/18 - 16:16:50,49.38522167,1.07046000
2025/03/18 - 16:16:51,49.38520833,1.07046833
2025/03/18 - 16:16:52,49.38519833,1.07047833
2025/03/18 - 16:16:53,49.38519000,1.07048333
2025/03/18 - 16:16:54,49.38519000,1.07048333
2025/03/18 - 16:16:55,49.38519167,1.07048667
2025/03/18 - 16:16:56,49.38519667,1.07048500
2025/03/18 - 16:16:57,49.38519833,1.07048500
2025/03/18 - 16:16:58,49.38520000,1.07048500
2025/03/18 - 16:16:59,49.38520167,1.07048333
2025/03/18 - 16:17:00,49.38520167,1.07048167
2025/03/18 - 16:17:01,49.38519833,1.07048333
2025/03/18 - 16:17:02,49.38519833,1.07048500
2025/03/18 - 16:17:03,49.38519833,1.07048500
2025/03/18 - 16:17:04,49.38519833,1.07048500
2025/03/18 - 16:17:05,49.38519833,1.07048500
2025/03/18 - 16:17:06,49.38519833,1.07048500
2025/03/18 - 16:17:07,49.38519833,1.07048500
2025/03/18 - 16:17:08,49.38518333,1.07050333
2025/03/18 - 16:17:09,49.38517667,1.07051333
2025/03/18 - 16:17:10,49.38516833,1.07052333
