"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.113496667E-1,1.878593445E-1,-3.884422302E-1,9.590256958E0,9.599958699E0
6.213356667E-1,2.074685669E-1,-4.875361633E-1,9.565708008E0,9.580370787E0
6.313226667E-1,2.001338196E-1,-4.840933228E-1,9.630822601E0,9.645058002E0
6.413096667E-1,1.704954529E-1,-4.089495850E-1,9.773326263E0,9.783364182E0
6.512956667E-1,1.942959595E-1,-3.435356140E-1,9.877060547E0,9.884942725E0
6.612826667E-1,2.335144043E-1,-3.797602844E-1,9.842183075E0,9.852274587E0
6.712696667E-1,3.126997375E-1,-4.079017639E-1,9.779912567E0,9.793408742E0
6.812556667E-1,4.357438660E-1,-4.257147217E-1,9.713151398E0,9.732235910E0
6.912426667E-1,5.745053101E-1,-3.661386108E-1,9.689650269E0,9.713569692E0
7.012286667E-1,6.608757019E-1,-2.803669739E-1,9.690249023E0,9.716804437E0
7.112156667E-1,6.810836792E-1,-3.558100891E-1,9.620344391E0,9.650984509E0
7.212026667E-1,6.153703308E-1,-5.016069031E-1,9.655371552E0,9.687955921E0
7.311886667E-1,5.137316895E-1,-5.760021973E-1,9.705068207E0,9.735709922E0
7.411756667E-1,4.746629333E-1,-5.587879944E-1,9.709558868E0,9.737200950E0
7.511626667E-1,5.242098999E-1,-5.360353088E-1,9.678423615E0,9.707420540E0
7.611486667E-1,3.583547974E-1,-3.402424622E-1,9.681567078E0,9.694169597E0
7.711356667E-1,3.776646423E-1,-4.080514526E-1,9.758207703E0,9.774034691E0
7.811226667E-1,4.468208313E-1,-4.885839844E-1,9.560917969E0,9.583815293E0
7.911086667E-1,5.821394348E-1,-4.424798584E-1,9.573940887E0,9.601823726E0
8.010956667E-1,5.854325867E-1,-3.897894287E-1,9.692045288E0,9.717531012E0
8.110816667E-1,5.346881104E-1,-4.586462402E-1,9.639055481E0,9.664762714E0
8.210686667E-1,4.596940613E-1,-5.676196289E-1,9.713450775E0,9.740874531E0
8.310556667E-1,3.761677551E-1,-5.807922363E-1,9.793085175E0,9.817501670E0
8.410416667E-1,3.528163147E-1,-6.012995911E-1,9.770781555E0,9.795622122E0
8.510286667E-1,3.068618774E-1,-6.017486572E-1,9.675729218E0,9.699278404E0
8.610156667E-1,2.592608643E-1,-7.011419678E-1,9.691296844E0,9.720084916E0
8.710016667E-1,2.670446777E-1,-6.845265198E-1,9.684560852E0,9.712394572E0
8.809886667E-1,3.332070923E-1,-5.746549988E-1,9.582622833E0,9.605618965E0
8.909746667E-1,3.393443298E-1,-4.998106384E-1,9.615853729E0,9.634812307E0
9.009616667E-1,3.403921509E-1,-5.632786560E-1,9.740843811E0,9.763052177E0
9.109486667E-1,3.260220337E-1,-6.030958557E-1,9.703870697E0,9.728058464E0
9.209346667E-1,3.595523071E-1,-5.626799011E-1,9.702373810E0,9.725324883E0
9.309216667E-1,3.655398560E-1,-5.631289673E-1,9.718390503E0,9.741552627E0
9.409086667E-1,3.854484558E-1,-5.414241028E-1,9.714648285E0,9.737356000E0
9.508946667E-1,3.535647583E-1,-5.734574890E-1,9.741292877E0,9.764560843E0
9.608816667E-1,2.673440552E-1,-5.879772949E-1,9.727521515E0,9.748941736E0
9.708676667E-1,1.968406677E-1,-6.339317322E-1,9.740843811E0,9.763434531E0
9.808546667E-1,1.303788757E-1,-6.424639893E-1,9.715696106E0,9.737787708E0
9.908416667E-1,1.044827271E-1,-5.800437927E-1,9.634714508E0,9.652724543E0
1.000827667E0,1.161584473E-1,-5.604345703E-1,9.583970032E0,9.601044801E0
1.010814667E0,1.595681763E-1,-5.881269836E-1,9.593101044E0,9.612436891E0
1.020801667E0,1.850152588E-1,-6.015989685E-1,9.720336456E0,9.740692624E0
1.030787667E0,2.290237427E-1,-6.236032104E-1,9.845775604E0,9.868162447E0
1.040774667E0,2.263293457E-1,-6.620732117E-1,9.857900391E0,9.882700341E0
1.050760667E0,1.652563477E-1,-6.418652344E-1,9.728569336E0,9.751121062E0
1.060747708E0,8.352630615E-2,-5.619314575E-1,9.653126221E0,9.669828822E0
1.070734708E0,9.505233765E-2,-5.379812622E-1,9.735754395E0,9.751070322E0
1.080720708E0,1.365161133E-1,-5.447172546E-1,9.795629883E0,9.811713323E0
1.090707708E0,1.844165039E-1,-5.593867493E-1,9.786199493E0,9.803908583E0
1.100694708E0,2.317181396E-1,-5.792953491E-1,9.772128754E0,9.792026183E0
1.110680708E0,2.192939758E-1,-5.966592407E-1,9.863887939E0,9.884350124E0
1.120667708E0,2.016307068E-1,-6.494993591E-1,1.002061203E1,1.004366317E1
1.130653708E0,1.778302002E-1,-6.556365967E-1,1.010788055E1,1.013068271E1
1.140640708E0,2.297721863E-1,-6.468049622E-1,1.008991791E1,1.011323862E1
1.150627708E0,2.758763123E-1,-6.330335999E-1,1.014829651E1,1.017176294E1
1.160613708E0,3.050656128E-1,-6.005511475E-1,1.015652939E1,1.017884158E1
1.170600708E0,2.656974792E-1,-5.496569824E-1,1.011177246E1,1.013018560E1
1.180587708E0,2.704875183E-1,-5.501060486E-1,1.012269974E1,1.014124401E1
