"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.027291677E-3,-2.195933533E-1,5.987548828E-3,1.006252487E1,1.006492245E1
1.301329167E-2,-2.112107849E-1,1.736389160E-2,9.915829926E0,9.918094303E0
2.299929167E-2,-1.742376709E-1,9.729766846E-3,9.804012451E0,9.805565439E0
3.298529168E-2,-1.212478638E-1,-1.362167358E-2,9.474248199E0,9.475033801E0
4.297229167E-2,-1.257385254E-1,2.125579834E-2,9.458830261E0,9.459689841E0
5.295829166E-2,-1.435514832E-1,3.742218018E-3,9.835297394E0,9.836345656E0
6.294429167E-2,-1.585203552E-1,2.080673218E-2,9.926906891E0,9.928194299E0
7.293029167E-2,-1.727407837E-1,3.008743286E-2,9.830806732E0,9.832370296E0
8.291629168E-2,-1.672023010E-1,1.047821045E-3,9.839788055E0,9.841208599E0
9.290229167E-2,-1.440005493E-1,1.332229614E-2,9.633666687E0,9.634752071E0
1.028882917E-1,-1.486408997E-1,1.242416382E-2,9.625882874E0,9.627038463E0
1.128752917E-1,-1.576222229E-1,-3.592529297E-3,9.822274475E0,9.823539766E0
1.228612917E-1,-1.610650635E-1,2.035766602E-2,9.906998291E0,9.908328392E0
1.328472917E-1,-1.547781372E-1,-4.640350342E-3,9.832602997E0,9.833822222E0
1.428332917E-1,-1.483415222E-1,-5.688171387E-3,9.741741943E0,9.742872967E0
1.528192917E-1,-1.327738953E-1,2.484832764E-2,9.601184235E0,9.602134401E0
1.628052917E-1,-1.550775146E-1,4.640350342E-3,9.697733459E0,9.698974421E0
1.727912917E-1,-1.981878662E-1,-4.041595459E-3,1.002779709E1,1.002975619E1
1.827782917E-1,-1.543290710E-1,-1.496887207E-3,9.969119110E0,9.970313713E0
1.927642917E-1,-1.255888367E-1,1.481918335E-2,9.756112061E0,9.756931623E0
2.027502917E-1,-1.504371643E-1,1.916015625E-2,9.738149414E0,9.739330186E0
2.127362917E-1,-1.356179810E-1,-2.844085693E-3,9.729617157E0,9.730562694E0
2.227222917E-1,-1.279838562E-1,-4.790039062E-3,9.725575562E0,9.726418807E0
2.327082917E-1,-1.344204712E-1,-1.646575928E-3,9.859996033E0,9.860912399E0
2.426942917E-1,-1.736389160E-1,-1.646575928E-2,1.007180557E1,1.007331569E1
2.526812917E-1,-1.493893433E-1,-1.496887207E-2,9.942324829E0,9.943458365E0
2.626672917E-1,-1.471440125E-1,-7.634124756E-3,9.744885406E0,9.745999242E0
2.726532917E-1,-1.172062683E-1,2.844085693E-3,9.727970581E0,9.728677044E0
2.826392917E-1,-9.265731812E-2,1.496887207E-3,9.577683105E0,9.578131409E0
2.926252917E-1,-1.067280579E-1,4.640350342E-3,9.530680847E0,9.531279548E0
3.026112917E-1,-9.819580078E-2,1.017883301E-2,9.535770264E0,9.536281274E0
3.125972917E-1,-9.595046997E-2,1.047821045E-2,9.505832520E0,9.506322537E0
3.225842917E-1,-1.669029236E-1,-2.110610962E-2,9.997709656E0,9.999124982E0
3.325702917E-1,-1.574725342E-1,-2.993774414E-4,1.001582199E1,1.001705984E1
3.425562917E-1,-1.335223389E-1,-1.766326904E-2,9.818681946E0,9.819605662E0
3.525422917E-1,-1.080752563E-1,-2.335144043E-2,9.714199219E0,9.714828460E0
3.625282917E-1,-1.010398865E-1,-2.350112915E-2,9.666747894E0,9.667304496E0
3.725142917E-1,-1.284329224E-1,1.796264648E-3,9.683513031E0,9.684364866E0
3.825002917E-1,-1.368154907E-1,-2.005828857E-2,9.785451050E0,9.786428003E0
3.924872917E-1,-1.550775146E-1,-2.859054565E-2,9.941875763E0,9.943126276E0
4.024732917E-1,-1.414558411E-1,-2.469863892E-2,9.878407745E0,9.879451369E0
4.124592917E-1,-1.428030396E-1,-6.137237549E-3,9.684860229E0,9.685914930E0
4.224452917E-1,-1.239422607E-1,-1.811233521E-2,9.679621124E0,9.680431543E0
4.324312917E-1,-1.254391479E-1,-1.422042847E-2,9.756261749E0,9.757078483E0
4.424172917E-1,-1.513352966E-1,-2.275268555E-2,9.828711090E0,9.829902428E0
4.524032917E-1,-1.438508606E-1,-1.496887207E-2,9.858948212E0,9.860008975E0
4.623902917E-1,-1.285826111E-1,-2.844085693E-2,9.784852295E0,9.785738439E0
4.723762917E-1,-1.125659180E-1,-1.092727661E-2,9.699529724E0,9.700189037E0
4.823622917E-1,-1.243913269E-1,1.646575928E-3,9.718989258E0,9.719785394E0
4.923482917E-1,-1.396595764E-1,-6.586303711E-3,9.828262024E0,9.829256462E0
5.023342917E-1,-1.377136230E-1,-1.886077881E-2,9.859696655E0,9.860676392E0
5.123202917E-1,-1.216969299E-1,-2.245330811E-2,9.804012451E0,9.804793442E0
5.223062917E-1,-1.405577087E-1,-2.694396973E-2,9.725276184E0,9.726329179E0
5.322932917E-1,-1.242416382E-1,-2.514770508E-2,9.708660736E0,9.709488230E0
5.422792917E-1,-1.413061523E-1,-2.155517578E-2,9.752220154E0,9.753267657E0
5.522652917E-1,-1.428030396E-1,-4.490661621E-4,9.809401245E0,9.810440647E0
5.622512917E-1,-1.270857239E-1,-0.000000000E0,9.846973114E0,9.847793168E0
5.722372917E-1,-1.234931946E-1,2.544708252E-3,9.807904358E0,9.808682120E0
5.822241667E-1,-1.387614441E-1,-9.580078125E-3,9.739496613E0,9.740489761E0
5.922101667E-1,-1.248403931E-1,-1.347198486E-3,9.711355133E0,9.712157611E0
6.021971667E-1,-1.311273193E-1,-3.143463135E-3,9.765093384E0,9.765974250E0
6.121831667E-1,-1.368154907E-1,-1.601669312E-2,9.828411713E0,9.829376980E0
6.221691667E-1,-1.336720276E-1,-1.945953369E-2,9.825268250E0,9.826196775E0
6.321551667E-1,-1.323248291E-1,-7.783813477E-3,9.782756653E0,9.783654643E0
6.421411667E-1,-1.335223389E-1,-3.143463135E-3,9.757010193E0,9.757924267E0
6.521271667E-1,-1.269360352E-1,2.095642090E-3,9.757459259E0,9.758285113E0
6.621131667E-1,-1.317260742E-1,1.197509766E-3,9.780511322E0,9.781398413E0
6.721001667E-1,-1.390608215E-1,-2.020797729E-2,9.797126770E0,9.798134477E0
6.820861667E-1,-1.243913269E-1,-1.377136230E-2,9.787247314E0,9.788047448E0
6.920721667E-1,-1.308279419E-1,-1.032852173E-2,9.776918793E0,9.777799533E0
7.020581667E-1,-1.383123779E-1,-1.017883301E-2,9.764644318E0,9.765629144E0
7.120441667E-1,-1.273851013E-1,-1.616638184E-2,9.791139221E0,9.791981187E0
7.220301667E-1,-1.273851013E-1,-6.885681152E-3,9.785750427E0,9.786581926E0
7.320161667E-1,-1.276844788E-1,-3.742218018E-3,9.792486420E0,9.793319540E0
7.420031667E-1,-1.390608215E-1,-4.790039062E-3,9.779613190E0,9.780602998E0
7.519891667E-1,-1.115180969E-1,-1.422042847E-2,9.761800232E0,9.762447556E0
7.619751667E-1,-1.127156067E-1,-2.484832764E-2,9.775870972E0,9.776552332E0
7.719611667E-1,-1.362167358E-1,-8.681945801E-3,9.793234863E0,9.794186003E0
7.819471667E-1,-1.315763855E-1,-1.856140137E-2,9.785750427E0,9.786652558E0
7.919331667E-1,-1.371148682E-1,-1.856140137E-2,9.779762878E0,9.780741637E0
8.019191667E-1,-1.362167358E-1,-2.395019531E-2,9.765542450E0,9.766521794E0
8.119061667E-1,-1.287322998E-1,-2.814147949E-2,9.769733734E0,9.770622354E0
8.218921667E-1,-1.363664246E-1,-2.933898926E-2,9.804611206E0,9.805603372E0
8.318781667E-1,-1.398092651E-1,-1.047821045E-2,9.807455292E0,9.808457357E0
8.418641667E-1,-1.420545959E-1,-5.388793945E-3,9.790390778E0,9.791422783E0
8.518501667E-1,-1.216969299E-1,-3.592529297E-3,9.760752411E0,9.761511700E0
8.618361667E-1,-1.335223389E-1,-1.886077881E-2,9.765542450E0,9.766473431E0
8.718221667E-1,-1.228944397E-1,-2.095642090E-2,9.765093384E0,9.765889156E0
8.818091667E-1,-1.356179810E-1,-2.125579834E-2,9.780661011E0,9.781624295E0
8.917951667E-1,-1.299298096E-1,-9.131011963E-3,9.805659027E0,9.806524057E0
9.017811667E-1,-1.285826111E-1,-1.017883301E-2,9.798174591E0,9.799023544E0
9.117671667E-1,-1.130149841E-1,-5.089416504E-3,9.760453033E0,9.761108631E0
9.217531667E-1,-1.199006653E-1,-8.083190918E-3,9.751022644E0,9.751763128E0
9.317391667E-1,-1.393601990E-1,-7.334747314E-3,9.765991516E0,9.766988551E0
9.417251667E-1,-1.113684082E-1,-1.975891113E-2,9.790091400E0,9.790744760E0
9.517121667E-1,-1.329235840E-1,-9.580078125E-3,9.800719299E0,9.801625337E0
9.616981667E-1,-1.517843628E-1,-4.490661621E-3,9.795480194E0,9.796657128E0
9.716841667E-1,-1.234931946E-1,-2.170486450E-2,9.781110077E0,9.781913719E0
9.816701667E-1,-1.354682922E-1,-7.783813477E-3,9.761051788E0,9.761994891E0
9.916561667E-1,-1.264869690E-1,-7.933502197E-3,9.775272217E0,9.776093740E0
1.001642167E0,-1.294807434E-1,-1.571731567E-2,9.781110077E0,9.781979689E0
1.011628167E0,-1.255888367E-1,-4.640350342E-3,9.777218170E0,9.778025835E0
1.021615167E0,-1.196012878E-1,-1.541793823E-2,9.782906342E0,9.783649558E0
1.031601167E0,-1.314266968E-1,-1.002914429E-2,9.767338715E0,9.768228044E0
1.041587167E0,-1.417552185E-1,-5.388793945E-3,9.772877197E0,9.773906706E0
1.051573167E0,-1.323248291E-1,-1.047821045E-2,9.791588287E0,9.792487980E0
1.061559167E0,-1.285826111E-1,-2.155517578E-2,9.776020660E0,9.776890000E0
1.071545167E0,-1.317260742E-1,-1.466949463E-2,9.772278442E0,9.773177217E0
1.081531167E0,-1.083746338E-1,-2.963836670E-2,9.765392761E0,9.766039078E0
1.091518167E0,-1.303788757E-1,-1.541793823E-2,9.764045563E0,9.764928167E0
1.101504167E0,-1.392105103E-1,-1.242416382E-2,9.790540466E0,9.791538007E0
1.111490167E0,-1.315763855E-1,-2.664459229E-2,9.785001984E0,9.785922854E0
1.121476167E0,-1.360670471E-1,-1.930984497E-2,9.776320038E0,9.777285952E0
1.131462167E0,-1.127156067E-1,-1.347198486E-2,9.777517548E0,9.778176502E0
1.141448167E0,-1.209484863E-1,-8.083190918E-3,9.775272217E0,9.776023772E0
1.151434167E0,-1.142124939E-1,-1.975891113E-2,9.767638092E0,9.768325793E0
1.161421167E0,-1.306782532E-1,-1.377136230E-2,9.783205719E0,9.784088133E0
1.171407167E0,-1.146615601E-1,-1.541793823E-2,9.793983307E0,9.794666610E0
1.181393167E0,-1.302291870E-1,-8.083190918E-3,9.792935486E0,9.793804695E0
1.191379167E0,-1.354682922E-1,3.293151855E-3,9.751022644E0,9.751964167E0
1.201365167E0,-1.257385254E-1,-9.580078125E-3,9.750872955E0,9.751688333E0
1.211351167E0,-1.230441284E-1,-1.661544800E-2,9.775421906E0,9.776210378E0
1.221337167E0,-1.218466187E-1,-9.131011963E-3,9.781409454E0,9.782172606E0
1.231324167E0,-1.351689148E-1,-1.347198486E-2,9.784103851E0,9.785046771E0
1.241310167E0,-1.333726501E-1,8.981323242E-3,9.790390778E0,9.791303310E0
1.251296167E0,-1.260379028E-1,1.496887207E-4,9.771080933E0,9.771893786E0
1.261282167E0,-1.094224548E-1,-2.874023438E-2,9.777367859E0,9.778022373E0
1.271268167E0,-1.357676697E-1,-1.481918335E-2,9.775571594E0,9.776525582E0
1.281254167E0,-1.151106262E-1,-1.841171265E-2,9.762548676E0,9.763244650E0
1.291240167E0,-1.281335449E-1,-1.871109009E-2,9.777667236E0,9.778524679E0
1.301227167E0,-1.242416382E-1,-1.062789917E-2,9.782008209E0,9.782802949E0
1.311213167E0,-1.273851013E-1,2.993774414E-4,9.771230621E0,9.772060935E0
1.321199167E0,-1.442999268E-1,-1.347198486E-2,9.787995758E0,9.789068644E0
1.331185167E0,-1.356179810E-1,-1.916015625E-2,9.772877197E0,9.773836916E0
1.341171167E0,-1.363664246E-1,-2.275268555E-2,9.775571594E0,9.776549160E0
1.351157167E0,-1.203497314E-1,-1.466949463E-2,9.755513306E0,9.756266658E0
1.361143167E0,-1.285826111E-1,-2.365081787E-2,9.767189026E0,9.768064000E0
1.371129167E0,-1.393601990E-1,-1.826202393E-2,9.797575836E0,9.798583930E0
1.381116167E0,-1.321751404E-1,-2.395019531E-2,9.815388794E0,9.816307914E0
1.391102167E0,-1.216969299E-1,-7.185058594E-3,9.806108093E0,9.806865845E0
1.401088167E0,-1.305285645E-1,-7.035369873E-3,9.776020660E0,9.776894556E0
1.411074167E0,-1.281335449E-1,-2.365081787E-2,9.770631866E0,9.771500634E0
1.421060167E0,-1.288819885E-1,-2.185455322E-2,9.767338715E0,9.768213437E0
1.431046167E0,-1.360670471E-1,-1.616638184E-2,9.779912567E0,9.780872426E0
1.441032167E0,-1.404080200E-1,-1.466949463E-2,9.807604980E0,9.808620956E0
1.451019167E0,-1.297801208E-1,-3.173400879E-2,9.791887665E0,9.792799087E0
1.461005167E0,-1.339714050E-1,-4.490661621E-3,9.780960388E0,9.781878890E0
1.470991167E0,-1.136137390E-1,-2.544708252E-3,9.774224396E0,9.774885017E0
1.480977167E0,-1.145118713E-1,-2.275268555E-2,9.748028870E0,9.748727994E0
1.490963167E0,-1.363664246E-1,-1.017883301E-2,9.764045563E0,9.765003080E0
1.500949167E0,-1.290316772E-1,-8.981323242E-4,9.776320038E0,9.777171547E0
1.510935167E0,-1.348695374E-1,-5.987548828E-3,9.799222412E0,9.800152322E0
1.520922167E0,-1.341210938E-1,-5.538482666E-3,9.794582062E0,9.795501871E0
1.530908167E0,-1.372645569E-1,-9.280700684E-3,9.791737976E0,9.792704442E0
1.540894167E0,-1.312770081E-1,-6.735992432E-3,9.764794006E0,9.765678728E0
1.550880167E0,-1.276844788E-1,-2.155517578E-2,9.759854279E0,9.760713268E0
1.560866167E0,-1.216969299E-1,-1.167572021E-2,9.767039337E0,9.767804455E0
1.570852167E0,-1.368154907E-1,-2.469863892E-2,9.797575836E0,9.798562179E0
1.580836667E0,-1.202000427E-1,-9.280700684E-3,9.802515564E0,9.803256886E0
1.590822667E0,-1.261875916E-1,-7.484436035E-3,9.784702606E0,9.785519118E0
1.600809667E0,-1.333726501E-1,-2.020797729E-2,9.769733734E0,9.770664965E0
1.610795667E0,-1.281335449E-1,-1.796264648E-2,9.748927002E0,9.749785564E0
1.620781667E0,-1.234931946E-1,-1.886077881E-2,9.761500854E0,9.762300202E0
1.630767667E0,-1.234931946E-1,-1.616638184E-2,9.762848053E0,9.763642457E0
1.640753667E0,-1.249900818E-1,-2.409988403E-2,9.793534241E0,9.794361452E0
1.650739667E0,-1.125659180E-1,-6.885681152E-3,9.795330505E0,9.795979696E0
1.660725667E0,-1.297801208E-1,-8.981323242E-3,9.790839844E0,9.791704060E0
1.670712667E0,-1.285826111E-1,-3.143463135E-3,9.757908325E0,9.758755979E0
1.680698667E0,-1.100212097E-1,-2.993774414E-2,9.758656769E0,9.759322869E0
1.690684667E0,-1.252894592E-1,-1.930984497E-2,9.768985291E0,9.769807773E0
1.700670667E0,-1.267863464E-1,-1.182540894E-2,9.786199493E0,9.787027901E0
1.710656667E0,-1.213975525E-1,-2.754272461E-2,9.802814941E0,9.803605293E0
1.720642667E0,-1.251397705E-1,-5.837860107E-3,9.794132996E0,9.794934159E0
1.730628667E0,-1.270857239E-1,-2.694396973E-3,9.797725525E0,9.798550071E0
1.740615667E0,-1.154100037E-1,-2.978805542E-2,9.785301361E0,9.786027260E0
1.750601667E0,-1.221459961E-1,-2.350112915E-2,9.761351166E0,9.762143644E0
1.760587667E0,-1.356179810E-1,-2.619552612E-2,9.742640076E0,9.743619147E0
1.770573667E0,-1.369651794E-1,3.891906738E-3,9.766290894E0,9.767252041E0
1.780559667E0,-1.272354126E-1,-1.871109009E-2,9.787546692E0,9.788391553E0
1.790545667E0,-1.194515991E-1,-2.305206299E-2,9.789792023E0,9.790547887E0
1.800531667E0,-1.294807434E-1,-1.152603149E-2,9.791438599E0,9.792301463E0
1.810518667E0,-1.368154907E-1,-2.155517578E-2,9.789193268E0,9.790173029E0
1.820504667E0,-1.317260742E-1,-1.796264648E-2,9.771380310E0,9.772284665E0
1.830490667E0,-1.110690308E-1,-9.430389404E-3,9.761051788E0,9.761688239E0
1.840476667E0,-1.297801208E-1,-1.571731567E-2,9.765692139E0,9.766567097E0
1.850462667E0,-1.261875916E-1,-2.215393066E-2,9.789642334E0,9.790480638E0
1.860448667E0,-1.270857239E-1,-1.152603149E-2,9.805659027E0,9.806489310E0
1.870434667E0,-1.170565796E-1,-3.113525391E-2,9.793384552E0,9.794133582E0
1.880420667E0,-1.282832336E-1,-2.065704346E-2,9.773326263E0,9.774189969E0
1.890407667E0,-1.390608215E-1,-6.436614990E-3,9.775571594E0,9.776562757E0
1.900393667E0,-1.225950623E-1,-1.511856079E-2,9.760902100E0,9.761683662E0
1.910379667E0,-1.341210938E-1,1.646575928E-3,9.779613190E0,9.780532977E0
1.920365667E0,-1.270857239E-1,-1.242416382E-2,9.787247314E0,9.788080258E0
1.930351667E0,-1.188528442E-1,-2.589614868E-2,9.783505096E0,9.784261269E0
1.940337667E0,-1.332229614E-1,-1.047821045E-3,9.785001984E0,9.785908914E0
1.950323667E0,-1.236428833E-1,-1.437011719E-2,9.780062256E0,9.780854349E0
1.960310667E0,-1.300794983E-1,-1.541793823E-2,9.784253540E0,9.785130338E0
1.970296667E0,-1.332229614E-1,-7.634124756E-3,9.785301361E0,9.786211185E0
1.980282667E0,-1.323248291E-1,-7.783813477E-3,9.765392761E0,9.766292348E0
1.990268667E0,-1.218466187E-1,-1.676513672E-2,9.768835602E0,9.769609853E0
2.000254667E0,-1.377136230E-1,-2.874023438E-2,9.771679688E0,9.772692309E0
2.010240667E0,-1.255888367E-1,-5.239105225E-3,9.780062256E0,9.780869989E0
2.020226667E0,-1.471440125E-1,-1.916015625E-2,9.787546692E0,9.788671448E0
2.030212667E0,-1.342707825E-1,-1.302291870E-2,9.794731750E0,9.795660687E0
2.040199667E0,-1.276844788E-1,-2.110610962E-2,9.770482178E0,9.771339252E0
2.050185667E0,-1.314266968E-1,-4.640350342E-3,9.776320038E0,9.777204508E0
2.060171667E0,-1.302291870E-1,-1.930984497E-2,9.751621399E0,9.752510057E0
2.070157667E0,-1.306782532E-1,-5.388793945E-3,9.774523773E0,9.775398756E0
2.080143667E0,-1.282832336E-1,-2.185455322E-2,9.789941711E0,9.790806551E0
2.090129667E0,-1.309776306E-1,-1.287322998E-2,9.803114319E0,9.803997716E0
2.100115667E0,-1.399589539E-1,-9.131011963E-3,9.802066498E0,9.803069902E0
2.110102667E0,-1.288819885E-1,2.245330811E-3,9.764644318E0,9.765495085E0
2.120088667E0,-1.158590698E-1,-2.559677124E-2,9.765093384E0,9.765814217E0
2.130074667E0,-1.368154907E-1,-3.562591553E-2,9.777068481E0,9.778090600E0
2.140060667E0,-1.248403931E-1,-1.616638184E-2,9.761500854E0,9.762312503E0
2.150046667E0,-1.278341675E-1,-1.945953369E-2,9.775571594E0,9.776426762E0
2.160032667E0,-1.261875916E-1,-1.392105103E-2,9.784403229E0,9.785226806E0
2.170018667E0,-1.282832336E-1,-1.257385254E-2,9.785001984E0,9.785850934E0
2.180004667E0,-1.419049072E-1,-1.646575928E-3,9.785151672E0,9.786180714E0
2.189991667E0,-1.374142456E-1,-0.000000000E0,9.789941711E0,9.790906056E0
2.199977667E0,-1.239422607E-1,-1.272354126E-2,9.784852295E0,9.785645508E0
2.209963667E0,-1.279838562E-1,-2.709365845E-2,9.772577820E0,9.773453391E0
2.219949667E0,-1.194515991E-1,-1.721420288E-2,9.759105835E0,9.759852033E0
2.229935667E0,-1.188528442E-1,-9.131011963E-3,9.796677704E0,9.797402891E0
2.239921667E0,-1.185534668E-1,-1.092727661E-2,9.813742218E0,9.814464359E0
2.249907667E0,-1.384620667E-1,-1.407073975E-2,9.794282684E0,9.795271463E0
2.259894667E0,-1.404080200E-1,-1.257385254E-2,9.734706573E0,9.735727224E0
2.269880667E0,-1.375639343E-1,-1.182540894E-2,9.716893616E0,9.717874521E0
2.279866667E0,-1.136137390E-1,-1.107696533E-2,9.764494629E0,9.765161859E0
2.289852667E0,-1.175056458E-1,3.293151855E-3,9.827363892E0,9.828066925E0
2.299838667E0,-1.288819885E-1,7.484436035E-4,9.861941986E0,9.862784134E0
2.309824667E0,-1.425036621E-1,-2.439926147E-2,9.817035370E0,9.818099922E0
2.319810667E0,-1.199006653E-1,-1.242416382E-2,9.739496613E0,9.740242543E0
2.329796667E0,-1.309776306E-1,-1.077758789E-2,9.715995483E0,9.716884250E0
2.339783667E0,-1.128652954E-1,-3.053649902E-2,9.735155640E0,9.735857763E0
2.349769667E0,-1.288819885E-1,-1.152603149E-2,9.822573853E0,9.823426108E0
