"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.438291671E-3,-2.409988403E-2,-9.790690155E0,4.182302856E-1,9.799648519E0
1.140729166E-2,-2.215393066E-2,-9.808054047E0,4.293072510E-1,9.817470127E0
2.137629167E-2,1.796264648E-3,-9.779762878E0,4.352947998E-1,9.789445681E0
3.134529167E-2,-3.293151855E-2,-9.811945953E0,4.165837097E-1,9.820840588E0
4.131429167E-2,-2.739303589E-2,-9.781409454E0,4.138893127E-1,9.790200491E0
5.128229166E-2,-3.906875610E-2,-9.803114319E0,4.140390015E-1,9.811931768E0
6.125129167E-2,-2.380050659E-2,-9.796528015E0,4.149371338E-1,9.805340404E0
7.122029168E-2,-2.874023438E-2,-9.806706848E0,4.245172119E-1,9.815932970E0
8.119029168E-2,-2.814147949E-2,-9.807604980E0,4.330494690E-1,9.817201192E0
9.115929167E-2,-3.382965088E-2,-9.794881439E0,4.129911804E-1,9.803642617E0
1.011282917E-1,-4.311035156E-2,-9.802365875E0,4.369413757E-1,9.812194098E0
1.110972917E-1,-4.041595459E-2,-9.796977081E0,4.321513367E-1,9.806586978E0
1.210662917E-1,-3.128494263E-2,-9.793534241E0,4.411326599E-1,9.803514150E0
1.310351667E-1,-1.586700439E-2,-9.794432373E0,4.194277954E-1,9.803421696E0
1.410041667E-1,-2.619552612E-2,-9.802066498E0,4.185296631E-1,9.811032612E0
1.509731667E-1,-2.903961182E-2,-9.782906342E0,4.156855774E-1,9.791776871E0
1.609421667E-1,-2.589614868E-2,-9.795779572E0,4.071533203E-1,9.804271612E0
1.709111667E-1,-2.754272461E-2,-9.788295135E0,4.212240601E-1,9.797393019E0
1.808801667E-1,-1.990859985E-2,-9.788594513E0,4.334985352E-1,9.798209013E0
1.908491667E-1,-3.397933960E-2,-9.803862762E0,4.085005188E-1,9.812428463E0
2.008181667E-1,-1.407073975E-2,-9.794881439E0,4.197271729E-1,9.803880420E0
2.107881667E-1,-1.766326904E-2,-9.786349182E0,4.346960449E-1,9.796014647E0
2.207581667E-1,-2.694396973E-3,-9.788295135E0,4.399351501E-1,9.798176966E0
2.307271667E-1,-8.981323242E-3,-9.793983307E0,4.279600525E-1,9.803333080E0
2.406971667E-1,-4.730163574E-2,-9.784852295E0,4.177812195E-1,9.793881408E0
2.506661667E-1,-3.502716064E-2,-9.799970856E0,4.098477173E-1,9.808599840E0
2.606351667E-1,-3.742218018E-2,-9.781858521E0,4.110452271E-1,9.790562533E0
2.706041667E-1,-2.724334717E-2,-9.785600739E0,4.019142151E-1,9.793888862E0
2.805731667E-1,-3.891906738E-2,-9.805509338E0,4.246669006E-1,9.814778146E0
