"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.147077917E-1,-8.962761841E0,2.097138977E-1,-4.400848389E-2,8.965322999E0
7.246937917E-1,-8.829987946E0,3.734733582E-1,-1.666035461E-1,8.839452823E0
7.346807917E-1,-9.022787018E0,3.808081055E-1,-1.712438965E-1,9.032442906E0
7.446667917E-1,-9.147477722E0,3.408412170E-1,-4.221221924E-2,9.153922836E0
7.546537917E-1,-9.552685089E0,3.104544067E-1,7.694000244E-2,9.558038194E0
7.646397917E-1,-1.013123199E1,6.541397095E-2,1.860630798E-1,1.013315154E1
7.746267917E-1,-1.028211823E1,-1.739382935E-1,3.218307495E-1,1.028862405E1
7.846127917E-1,-1.012569351E1,-1.594184875E-1,1.856140137E-1,1.012864926E1
7.945987917E-1,-9.907746735E0,-7.708969116E-2,1.100212097E-1,9.908657469E0
8.045857917E-1,-9.515412598E0,-3.502716064E-2,2.390528870E-1,9.518479400E0
8.145717917E-1,-9.051676941E0,2.701881409E-1,-8.666976929E-2,9.056123272E0
8.245587917E-1,-1.058987823E1,-1.237925720E-1,-7.240443420E-1,1.061532316E1
8.345447917E-1,-1.064436493E1,6.197113037E-2,-1.104852448E0,1.070173089E1
8.445317917E-1,-9.953252106E0,2.354603577E-1,-2.130070496E-1,9.958315172E0
8.545177917E-1,-1.054646851E1,4.894821167E-1,-6.008505249E-1,1.057490482E1
8.645047917E-1,-1.063822769E1,8.807684326E-1,-5.261558533E-1,1.068758539E1
8.744907917E-1,-1.053778656E1,5.652246094E-1,5.673202515E-2,1.055308689E1
8.844777917E-1,-1.005249573E1,-1.643582153E-1,-1.389111328E-1,1.005479887E1
8.944637917E-1,-9.849817200E0,-5.632786560E-1,-4.314028931E-1,9.875337471E0
9.044507917E-1,-9.749974823E0,-5.736071777E-1,-1.065634003E0,9.824795676E0
9.144367917E-1,-9.636660461E0,3.188369751E-2,-1.172960815E0,9.707835933E0
9.244237917E-1,-9.608668671E0,3.400927734E-1,-8.714877319E-1,9.654101076E0
9.344097917E-1,-9.606123962E0,3.811074829E-1,-1.264570312E0,9.696494138E0
9.443957917E-1,-9.413624268E0,2.941383362E-1,-1.372495880E0,9.517698469E0
9.543827917E-1,-9.883197784E0,8.288264465E-1,-1.463356934E0,1.002526634E1
9.643687917E-1,-1.017868332E1,1.430874481E0,-1.603166199E0,1.040303503E1
9.743557917E-1,-9.499994659E0,4.825964355E-1,-1.484463043E0,9.627379102E0
9.843417917E-1,-9.735155640E0,-6.271957397E-2,-1.258283386E0,9.816336697E0
9.943287917E-1,-9.714797974E0,3.233276367E-2,-1.052311707E0,9.771678720E0
1.004314792E0,-9.746232605E0,1.826202393E-2,-8.220904541E-1,9.780859686E0
1.014301792E0,-9.741143188E0,2.095642090E-2,-8.860075378E-1,9.781376138E0
1.024287792E0,-9.687404938E0,-1.257385254E-2,-1.069825287E0,9.746306925E0
1.034274792E0,-9.701176300E0,-2.784210205E-1,-1.032253418E0,9.759912243E0
1.044260792E0,-9.748477936E0,-3.992198181E-1,-7.162605286E-1,9.782904869E0
1.054247792E0,-9.745633850E0,1.486408997E-1,-7.089257812E-1,9.772514979E0
1.064233792E0,-9.747729492E0,2.674937439E-1,-6.194119263E-1,9.771051852E0
1.074220792E0,-9.725276184E0,4.746629333E-1,-5.304968262E-1,9.751293691E0
1.084206792E0,-9.798773346E0,-1.736389160E-2,-4.212240601E-1,9.807838207E0
1.094192792E0,-9.783804474E0,2.035766602E-2,-3.171903992E-1,9.788965940E0
1.104179792E0,-9.764644318E0,2.035766602E-2,-3.454815674E-1,9.770775332E0
1.114165792E0,-9.752070465E0,1.496887207E-2,-3.655398560E-1,9.758930362E0
1.124152792E0,-9.770931244E0,9.729766846E-3,-2.415975952E-1,9.773922521E0
1.134138792E0,-9.764045563E0,1.526824951E-2,-2.264790344E-1,9.766683758E0
1.144125792E0,-9.779164124E0,1.766326904E-2,-2.818638611E-1,9.783241292E0
1.154111792E0,-9.755213928E0,4.191284180E-3,-2.954855347E-1,9.759688932E0
1.164098792E0,-9.754764862E0,1.826202393E-2,-2.618055725E-1,9.758294583E0
1.174084792E0,-9.778415680E0,1.197509766E-2,2.784210205E-2,9.778462650E0
1.184071792E0,-9.789492645E0,4.296066284E-2,4.610412598E-2,9.789695473E0
1.194057792E0,-9.774224396E0,1.811233521E-2,-1.562750244E-1,9.775490396E0
1.204044792E0,-9.776170349E0,2.948867798E-2,-1.362167358E-1,9.777163764E0
1.214030792E0,-9.791737976E0,1.107696533E-2,-1.526824951E-2,9.791756145E0
1.224017792E0,-9.779313812E0,8.981323242E-4,4.311035156E-2,9.779408875E0
1.234003792E0,-9.786947937E0,1.661544800E-2,-4.236190796E-2,9.787053720E0
1.243989792E0,-9.790241089E0,1.646575928E-2,-1.704954529E-1,9.791739396E0
1.253976792E0,-9.757758636E0,1.871109009E-2,-2.263293457E-1,9.760401051E0
