2025/3/146 - 16:4:35,49.38424883333333,1.0685226666666667
2025/3/18 - 16:4:37,49.38424883333333,1.0685231666666666
2025/3/18 - 16:4:39,49.38424833333333,1.0685236666666666
2025/3/18 - 16:7:20,49.38424583333333,1.068516
2025/3/18 - 16:7:22,49.38424583333333,1.0685161666666667
2025/3/18 - 16:7:24,49.38424583333333,1.0685165
2025/3/18 - 16:21:50,49.38586466666666,1.0708695,75.29
2025/3/18 - 16:21:52,49.3858635,1.0708688333333334,75.4
2025/3/18 - 16:21:54,49.38586183333333,1.0708685,75.4
