Timestamp,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
1743517315.3613963,0.287676,-0.05002,-1.935896,0.45500000000000007,-0.10500000000000001,-0.9100000000000001
1743517315.441474,0.28914,-0.050263999999999996,-1.9351639999999999,0.42000000000000004,-0.07,-0.9100000000000001
1743517315.5215433,0.288896,-0.048556,-1.9351639999999999,0.42000000000000004,-0.07,-0.9450000000000001
1743517315.6016512,0.289628,-0.05002,-1.935408,0.42000000000000004,-0.07,-0.9450000000000001
1743517315.6817262,0.28914,-0.050263999999999996,-1.934432,0.42000000000000004,-0.07,-0.9100000000000001
1743517315.7618017,0.288408,-0.049776,-1.934188,0.42000000000000004,-0.07,-0.9450000000000001
1743517315.8419113,0.291092,-0.049044,-1.934676,0.42000000000000004,-0.10500000000000001,-0.9100000000000001
1743517315.9219944,0.28914,-0.050996,-1.935652,0.45500000000000007,-0.07,-0.9450000000000001
1743517316.002063,0.285968,-0.048068,-1.934432,0.42000000000000004,-0.10500000000000001,-0.9100000000000001
1743517316.0821385,0.28792,-0.048556,-1.935652,0.42000000000000004,-0.07,-0.9100000000000001
1743517316.1622117,0.288408,-0.048556,-1.935896,0.42000000000000004,-0.07,-0.9100000000000001
1743517316.242286,0.288652,-0.048556,-1.93492,0.42000000000000004,-0.07,-0.9450000000000001
1743517316.3223608,0.28914,-0.049044,-1.9351639999999999,0.45500000000000007,-0.07,-0.9100000000000001
1743517316.4024365,0.288408,-0.049288,-1.93614,0.42000000000000004,-0.07,-0.9450000000000001
1743517316.4825137,0.2867,-0.049044,-1.935652,0.42000000000000004,-0.07,-0.9100000000000001
1743517316.5626001,0.29158,-0.047092,-1.935896,0.42000000000000004,-0.07,-0.9100000000000001
1743517316.6427662,0.289628,-0.05002,-1.934432,0.42000000000000004,-0.07,-0.9450000000000001
1743517316.7228312,0.288896,-0.048799999999999996,-1.934432,0.45500000000000007,-0.07,-0.9450000000000001
1743517316.802871,0.290848,-0.05002,-1.935652,0.42000000000000004,-0.07,-0.9100000000000001
1743517316.8829634,0.289872,-0.05124,-1.936872,0.42000000000000004,-0.10500000000000001,-0.9100000000000001
1743517316.9630508,0.288896,-0.049044,-1.93614,0.42000000000000004,-0.07,-0.9450000000000001
1743517317.0431328,0.28792,-0.048312,-1.93614,0.45500000000000007,-0.07,-0.9100000000000001
1743517317.1232154,0.288652,-0.05124,-1.93614,0.42000000000000004,-0.07,-0.9100000000000001
1743517317.2033024,0.289628,-0.048556,-1.9351639999999999,0.42000000000000004,-0.07,-0.9450000000000001
1743517317.283394,0.287676,-0.049776,-1.9351639999999999,0.42000000000000004,-0.10500000000000001,-0.9450000000000001
1743517317.363476,0.290116,-0.048312,-1.935408,0.42000000000000004,-0.07,-0.9450000000000001
1743517317.4435594,0.290116,-0.049776,-1.934432,0.42000000000000004,-0.07,-0.9100000000000001
1743517317.5237088,0.290116,-0.048799999999999996,-1.934676,0.42000000000000004,-0.07,-0.9100000000000001
1743517317.6037269,0.290116,-0.049776,-1.935408,0.45500000000000007,-0.07,-0.9450000000000001
